Sample,Record ID,Max Distance,Strain
GCF_003994075.1_ASM399407v1_genomic,003994075,7.82718e-05,Brucella abortus
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,000365625,0.000156838,Brucella abortus
GCF_006517315.1_ASM651731v1_genomic,006517315,0.000156838,Brucella melitensis
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,000370445,0.000235701,Brucella abortus
GCF_006517335.1_ASM651733v1_genomic,006517335,0.000156838,Brucella melitensis
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,000370065,0.00128871,Brucella abortus
GCF_006507665.1_ASM650766v1_genomic,006507665,0.000156838,Brucella melitensis
GCF_001715365.1_ASM171536v1_genomic,001715365,0.0,Brucella canis
GCF_000348645.1_MD5v1_genomic,000348645,7.82718e-05,Brucella melitensis
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,000369905,0.0,Brucella abortus
GCF_000480295.1_Bruc_cani_04-2330-1_V1_genomic,000480295,0.0,Brucella canis
GCF_003989975.1_ASM398997v1_genomic,003989975,0.00145543,Brucella abortus
GCF_006506485.1_ASM650648v1_genomic,006506485,0.000235701,Brucella melitensis
GCF_000365645.1_Bruc_abor_levi_gila_V1_genomic,000365645,0.0,Brucella abortus
GCF_004168645.1_ASM416864v1_genomic,004168645,7.82718e-05,Brucella abortus
GCF_900236555.1_Bru_genome5_genomic,900236555,0.000394323,Brucella melitensis
GCF_900446005.1_58116_B01_genomic,900446005,0.000156838,Brucella abortus
GCF_000157735.1_ASM15773v1_genomic,000157735,0.000156838,Brucella abortus
GCF_002150445.1_ASM215044v1_genomic,002150445,0.000156838,Brucella melitensis
GCF_002895145.1_ASM289514v1_genomic,002895145,0.0,Brucella abortus
GCF_001402095.1_ASM140209v1_genomic,001402095,7.82718e-05,Brucella abortus
GCF_000245895.1_Bruc_abor_bv1_NI488_V1_genomic,000245895,0.0,Brucella abortus
GCF_006506215.1_ASM650621v1_genomic,006506215,0.000314862,Brucella melitensis
GCF_000740315.1_ASM74031v1_genomic,000740315,0.000314862,Brucella abortus
GCF_000698345.1_ASM69834v1_genomic,000698345,7.82718e-05,Brucella suis
GCF_000298575.1_V1.0_for_Brucella_canis_str_118_genomic,000298575,0.0005541519999999999,Brucella canis
GCF_002150355.1_ASM215035v1_genomic,002150355,7.82718e-05,Brucella melitensis
GCF_003253375.1_ASM325337v1_genomic,003253375,0.000156838,Brucella abortus
GCF_000480135.1_Bruc_suis_06-997-1672_V1_genomic,000480135,0.000156838,Brucella suis
GCF_000292065.1_ASM29206v1_genomic,000292065,7.82718e-05,Brucella melitensis
GCF_002191935.1_ASM219193v1_genomic,002191935,0.000314862,Brucella melitensis
GCF_000370405.1_Bruc_abor_F10_06-3_V1_genomic,000370405,0.000235701,Brucella abortus
