Sample,Rmash Species,Max Distance
GCF_003994075.1_ASM399407v1_genomic,Brucella abortus,7.82718e-05
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,Brucella abortus,0.000156838
GCF_006517315.1_ASM651731v1_genomic,Brucella melitensis,0.000156838
GCF_000370445.1_Bruc_abor_F6_05-3_V1_genomic,Brucella abortus,0.000235701
GCF_006517335.1_ASM651733v1_genomic,Brucella melitensis,0.000156838
GCF_000370065.1_Bruc_abor_63_294_V1_genomic,Brucella abortus,0.00128871
GCF_006507665.1_ASM650766v1_genomic,Brucella melitensis,0.000156838
GCF_001715365.1_ASM171536v1_genomic,Brucella canis,0.0
GCF_000348645.1_MD5v1_genomic,Brucella melitensis,7.82718e-05
GCF_000369905.1_Bruc_abor_225_65_V1_genomic,Brucella abortus,0.0
GCF_000480295.1_Bruc_cani_04-2330-1_V1_genomic,Brucella canis,0.0
GCF_003989975.1_ASM398997v1_genomic,Brucella abortus,0.00145543
GCF_006506485.1_ASM650648v1_genomic,Brucella melitensis,0.000235701
GCF_000365645.1_Bruc_abor_levi_gila_V1_genomic,Brucella abortus,0.0
GCF_004168645.1_ASM416864v1_genomic,Brucella abortus,7.82718e-05
GCF_900236555.1_Bru_genome5_genomic,Brucella melitensis,0.000394323
GCF_900446005.1_58116_B01_genomic,Brucella abortus,0.000156838
GCF_000157735.1_ASM15773v1_genomic,Brucella abortus,0.000156838
GCF_002150445.1_ASM215044v1_genomic,Brucella melitensis,0.000156838
GCF_002895145.1_ASM289514v1_genomic,Brucella abortus,0.0
GCF_001402095.1_ASM140209v1_genomic,Brucella abortus,7.82718e-05
GCF_000245895.1_Bruc_abor_bv1_NI488_V1_genomic,Brucella abortus,0.0
GCF_006506215.1_ASM650621v1_genomic,Brucella melitensis,0.000314862
GCF_000740315.1_ASM74031v1_genomic,Brucella abortus,0.000314862
GCF_000698345.1_ASM69834v1_genomic,Brucella suis,7.82718e-05
GCF_000292145.1_ASM29214v2_genomic,Brucella melitensis,0.00128871
GCF_000298575.1_V1.0_for_Brucella_canis_str_118_genomic,Brucella canis,0.0005541519999999999
GCF_002150355.1_ASM215035v1_genomic,Brucella melitensis,7.82718e-05
GCF_003253375.1_ASM325337v1_genomic,Brucella abortus,0.000156838
GCF_000480135.1_Bruc_suis_06-997-1672_V1_genomic,Brucella suis,0.000156838
GCF_000292065.1_ASM29206v1_genomic,Brucella melitensis,7.82718e-05
GCF_002191935.1_ASM219193v1_genomic,Brucella melitensis,0.000314862
GCF_000370405.1_Bruc_abor_F10_06-3_V1_genomic,Brucella abortus,0.000235701
GCF_003989635.1_ASM398963v1_genomic,Brucella melitensis,0.000156838
GCF_006507585.1_ASM650758v1_genomic,Brucella melitensis,0.000156838
GCF_000366865.1_Bruc_meli_66_59_V1_genomic,Brucella melitensis,0.0
GCF_006506785.1_ASM650678v1_genomic,Brucella melitensis,0.000156838
GCF_003675365.1_ASM367536v1_genomic,Brucella abortus,7.82718e-05
GCF_006507285.1_ASM650728v1_genomic,Brucella melitensis,0.000156838
GCF_000370705.1_Bruc_meli_F9_05_V1_genomic,Brucella melitensis,7.82718e-05
GCF_001938045.1_ASM193804v1_genomic,Brucella melitensis,0.000235701
GCF_000366725.1_Bruc_abor_NI622_V1_genomic,Brucella abortus,0.0
GCF_000370005.1_Bruc_abor_63_138_V1_genomic,Brucella abortus,7.82718e-05
GCF_006507235.1_ASM650723v1_genomic,Brucella melitensis,0.000156838
GCF_000705115.1_Brucella_melitensis_C-555_genomic,Brucella melitensis,0.000156838
GCF_003994105.1_ASM399410v1_genomic,Brucella melitensis,0.000156838
GCF_002191335.1_ASM219133v1_genomic,Brucella melitensis,0.000235701
GCF_900446145.1_59071_D01_genomic,Brucella suis,0.000715202
GCF_001594165.1_ASM159416v1_genomic,Brucella suis,0.0
GCF_001938165.1_ASM193816v1_genomic,Brucella melitensis,0.000235701
GCF_000209635.2_ASM20963v2_genomic,Brucella suis,0.0
GCF_006506635.1_ASM650663v1_genomic,Brucella melitensis,0.000235701
GCF_006506105.1_ASM650610v1_genomic,Brucella melitensis,0.000156838
GCF_006506565.1_ASM650656v1_genomic,Brucella melitensis,0.0005541519999999999
GCF_000163135.1_ASM16313v1_genomic,Brucella sp,0.0
GCF_000370605.1_Bruc_cani_CNGB_513_V1_genomic,Brucella canis,0.000235701
GCF_900417215.1_00-4216_genomic,Brucella melitensis,0.000156838
GCF_000245835.1_Bruc_abor_bv1_NI435a_V1_genomic,Brucella abortus,0.0
GCF_001702315.1_ASM170231v1_genomic,Brucella melitensis,7.82718e-05
GCF_002310355.1_ASM231035v1_genomic,Brucella abortus,0.000959098
GCF_003194795.1_ASM319479v1_genomic,Brucella abortus,0.000156838
GCF_900236395.1_Bru_genome41_genomic,Brucella melitensis,0.000474086
GCF_006506875.1_ASM650687v1_genomic,Brucella melitensis,0.000156838
GCF_003194765.1_ASM319476v1_genomic,Brucella abortus,0.000156838
GCF_000245955.1_Bruc_abor_bv1_NI021_V1_genomic,Brucella abortus,0.0
GCF_000292165.1_ASM29216v2_genomic,Brucella melitensis,7.82718e-05
GCF_006506545.1_ASM650654v1_genomic,Brucella melitensis,0.000156838
GCF_900446105.1_59302_A02_genomic,Brucella neotomae,0.00213556
GCF_002278715.1_ASM227871v1_genomic,Brucella melitensis,7.82718e-05
GCF_003993995.1_ASM399399v1_genomic,Brucella melitensis,0.000156838
GCF_000292045.1_ASM29204v1_genomic,Brucella suis,0.0
GCF_000365745.1_Bruc_abor_F3_01-0300_V1_genomic,Brucella abortus,0.0
GCF_006506895.1_ASM650689v1_genomic,Brucella melitensis,0.000314862
GCF_002994775.1_ASM299477v1_genomic,Brucella suis,0.00204936
GCF_001715385.1_ASM171538v1_genomic,Brucella abortus,0.0
GCF_000740355.1_ASM74035v1_genomic,Brucella melitensis,0.000235701
GCF_000371105.1_Bruc_suis_63_198_V1_genomic,Brucella suis,7.82718e-05
GCF_006507815.1_ASM650781v1_genomic,Brucella melitensis,0.000156838
GCF_900497665.1_09-369-776-1_genomic,Brucella canis,0.0005541519999999999
GCF_000370245.1_Bruc_abor_80_28_V1_genomic,Brucella abortus,7.82718e-05
GCF_000661995.2_Bsuis2.0_genomic,Brucella canis,0.0225545
GCF_900491905.1_96-9626_genomic,Brucella canis,0.000156838
GCF_006507645.1_ASM650764v1_genomic,Brucella melitensis,0.000235701
GCF_002291325.1_ASM229132v1_genomic,Brucella abortus,0.000959098
GCF_001742815.1_ASM174281v1_genomic,Brucella sp,0.0
GCF_900236365.1_Bru_genome40_genomic,Brucella melitensis,0.000474086
GCF_000413655.1_Bruc_abor_biovar_1_90-0742_V1_genomic,Brucella abortus,0.0
GCF_000366985.1_Bruc_meli_F5_07-239A_V1_genomic,Brucella melitensis,0.000235701
GCF_000712255.1_Bneotomae2.0_genomic,Brucella neotomae,0.000314862
GCF_000366365.1_Bruc_abor_80_108_V1_genomic,Brucella abortus,0.0
GCF_000365965.1_Bruc_ovis_IntaBari-2001-319-4082_V1_genomic,Brucella ovis,0.0
GCF_000477635.1_Bruc_abor_BC95_V1_genomic,Brucella abortus,0.000314862
GCF_000479975.1_Bruc_meli_02-7258_V1_genomic,Brucella melitensis,0.000156838
GCF_000367265.1_Bruc_cani_CNGB_1172_V1_genomic,Brucella canis,0.000959098
GCF_000160255.1_ASM16025v1_genomic,Brucella abortus,0.0
GCF_006507135.1_ASM650713v1_genomic,Brucella melitensis,0.000235701
GCF_001302545.1_ASM130254v1_genomic,Brucella melitensis,0.0
GCF_000366465.1_Bruc_abor_90_50_V1_genomic,Brucella abortus,7.82718e-05
GCF_000366845.1_Bruc_meli_64_150_V1_genomic,Brucella melitensis,0.0
GCF_000007125.1_ASM712v1_genomic,Brucella melitensis,0.000156838
GCF_006507675.1_ASM650767v1_genomic,Brucella melitensis,0.000156838
GCF_002191495.1_ASM219149v1_genomic,Brucella melitensis,0.000235701
GCF_001937895.1_ASM193789v1_genomic,Brucella melitensis,0.000156838
GCF_900236465.1_Bru_genome45_genomic,Brucella melitensis,0.000394323
GCF_900446075.1_59071_A01_genomic,Brucella melitensis,0.0008774869999999999
GCF_001402005.1_ASM140200v1_genomic,Brucella abortus,0.000156838
GCF_000366205.1_Bruc_suis_92_29_V1_genomic,Brucella suis,0.0
GCF_006506205.1_ASM650620v1_genomic,Brucella melitensis,0.000314862
GCF_001937915.1_ASM193791v1_genomic,Brucella melitensis,7.82718e-05
GCF_006506135.1_ASM650613v1_genomic,Brucella melitensis,0.000156838
GCF_000182235.1_ASM18223v1_genomic,Brucella melitensis,7.82718e-05
GCF_000365905.1_Bruc_ovis_IntaBari-2010-47-871_V1_genomic,Brucella ovis,0.0
GCF_002191475.1_ASM219147v1_genomic,Brucella melitensis,0.000235701
GCF_900460605.1_58116_D02_genomic,Brucella suis,0.0
GCF_000371165.1_Bruc_suis_F12_02_V1_genomic,Brucella suis,7.82718e-05
GCF_006507465.1_ASM650746v1_genomic,Brucella melitensis,0.000314862
GCF_000480035.1_Bruc_suis_06-791-1309_V1_genomic,Brucella suis,7.82718e-05
GCF_000367065.1_Bruc_ovis_80_125_V1_genomic,Brucella ovis,0.0
GCF_002204335.1_ASM220433v1_genomic,Brucella melitensis,0.0
GCF_002266785.1_ASM226678v1_genomic,Brucella melitensis,0.000156838
