sample,top_taxonomy_name,distance,pvalue,matching,full_taxonomy,taxonomic_species,taxonomic_genus,taxonomic_family,taxonomic_order,taxonomic_class,taxonomic_phylum,taxonomic_superkingdom,subspecies,serovar,plasmid,bioproject,biosample,taxid,assembly_accession,match_id
GCF_003994075.1_ASM399407v1_genomic,Brucella abortus 99-9971-159,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 99-9971-159,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224790,SAMN02334520,1341676,NZ_AXMV,./rcn/refseq-NZ-1341676-PRJNA224790-SAMN02334520-NZ_AXMV-.-Brucella_abortus_99_9971_159.fna
GCF_003994075.1_ASM399407v1_genomic,Brucella abortus F5/04-7,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; F5/04-7,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN00811177,1160202,GCF_000370425.1,./rcn/refseq-NZ-1160202-PRJNA224116-SAMN00811177-GCF_000370425.1-.-Brucella_abortus_F5_04_7.fna
GCF_003994075.1_ASM399407v1_genomic,Brucella abortus 90-12178,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 90-12178,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224787,SAMN02334523,1341674,NZ_AXMS,./rcn/refseq-NZ-1341674-PRJNA224787-SAMN02334523-NZ_AXMS-.-Brucella_abortus_90_12178.fna
GCF_003994075.1_ASM399407v1_genomic,Brucella abortus 80/102,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 80/102,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201778,SAMN00811162,1160203,NZ_AQLO,./rcn/refseq-NZ-1160203-PRJNA201778-SAMN00811162-NZ_AQLO-.-Brucella_abortus_80_102.fna
GCF_003994075.1_ASM399407v1_genomic,Brucella abortus 877/67,7.82718e-05,0.0,399/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 877/67,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN00811167,1160206,GCF_000370325.1,./rcn/refseq-NZ-1160206-PRJNA224116-SAMN00811167-GCF_000370325.1-.-Brucella_abortus_877_67.fna
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,Brucella abortus LEVI237,0.0,0.0,400/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; LEVI237,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201799,SAMN00811185,1160204,NZ_AQMJ,./rcn/refseq-NZ-1160204-PRJNA201799-SAMN00811185-NZ_AQMJ-.-Brucella_abortus_LEVI237.fna
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,Brucella abortus 80/102,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 80/102,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA201778,SAMN00811162,1160203,NZ_AQLO,./rcn/refseq-NZ-1160203-PRJNA201778-SAMN00811162-NZ_AQLO-.-Brucella_abortus_80_102.fna
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,Brucella abortus F5/04-7,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; F5/04-7,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224116,SAMN00811177,1160202,GCF_000370425.1,./rcn/refseq-NZ-1160202-PRJNA224116-SAMN00811177-GCF_000370425.1-.-Brucella_abortus_F5_04_7.fna
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,Brucella abortus 90-12178,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 90-12178,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224787,SAMN02334523,1341674,NZ_AXMS,./rcn/refseq-NZ-1341674-PRJNA224787-SAMN02334523-NZ_AXMS-.-Brucella_abortus_90_12178.fna
GCF_000365625.1_Bruc_abor_LEVI237_V1_genomic,Brucella abortus 99-9971-159,0.000156838,0.0,398/400,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Brucellaceae; Brucella; abortus; 99-9971-159,Brucella abortus,Brucella,Brucellaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,,,,PRJNA224790,SAMN02334520,1341676,NZ_AXMV,./rcn/refseq-NZ-1341676-PRJNA224790-SAMN02334520-NZ_AXMV-.-Brucella_abortus_99_9971_159.fna
