Sample,Record ID,Max Distance,Strain,Number of Contigs
GCF_003994075_1_ASM399407v1_genomic,003994075,7.82718e-05,Brucella abortus,19
GCF_000365625_1_Bruc_abor_LEVI237_V1_genomic,000365625,0.000156838,Brucella abortus,4
GCF_006517315_1_ASM651731v1_genomic,006517315,0.000156838,Brucella melitensis,28
GCF_000370445_1_Bruc_abor_F6_05-3_V1_genomic,000370445,0.000235701,Brucella abortus,13
GCF_006517335_1_ASM651733v1_genomic,006517335,0.000156838,Brucella melitensis,36
GCF_000370065_1_Bruc_abor_63_294_V1_genomic,000370065,0.00128871,Brucella abortus,32
GCF_006507665_1_ASM650766v1_genomic,006507665,0.000156838,Brucella melitensis,29
GCF_001715365_1_ASM171536v1_genomic,001715365,0.0,Brucella canis,2
GCF_000348645_1_MD5v1_genomic,000348645,7.82718e-05,Brucella melitensis,91
GCF_000369905_1_Bruc_abor_225_65_V1_genomic,000369905,0.0,Brucella abortus,3
GCF_000480295_1_Bruc_cani_04-2330-1_V1_genomic,000480295,0.0,Brucella canis,4
GCF_003989975_1_ASM398997v1_genomic,003989975,0.00145543,Brucella abortus,131
GCF_006506485_1_ASM650648v1_genomic,006506485,0.000235701,Brucella melitensis,63
GCF_000365645_1_Bruc_abor_levi_gila_V1_genomic,000365645,0.0,Brucella abortus,6
GCF_004168645_1_ASM416864v1_genomic,004168645,7.82718e-05,Brucella abortus,115
GCF_900236555_1_Bru_genome5_genomic,900236555,0.000394323,Brucella melitensis,2
GCF_900446005_1_58116_B01_genomic,900446005,0.000156838,Brucella abortus,2
GCF_000157735_1_ASM15773v1_genomic,000157735,0.000156838,Brucella abortus,21
GCF_002150445_1_ASM215044v1_genomic,002150445,0.000156838,Brucella melitensis,41
GCF_002895145_1_ASM289514v1_genomic,002895145,0.0,Brucella abortus,2
GCF_001402095_1_ASM140209v1_genomic,001402095,7.82718e-05,Brucella abortus,9
GCF_000245895_1_Bruc_abor_bv1_NI488_V1_genomic,000245895,0.0,Brucella abortus,5
GCF_006506215_1_ASM650621v1_genomic,006506215,0.000314862,Brucella melitensis,30
GCF_000740315_1_ASM74031v1_genomic,000740315,0.000314862,Brucella abortus,2
GCF_000698345_1_ASM69834v1_genomic,000698345,7.82718e-05,Brucella suis,2
GCF_000298575_1_V1_0_for_Brucella_canis_str_118_genomic,000298575,0.0005541519999999999,Brucella canis,154
GCF_002150355_1_ASM215035v1_genomic,002150355,7.82718e-05,Brucella melitensis,33
GCF_003253375_1_ASM325337v1_genomic,003253375,0.000156838,Brucella abortus,2
GCF_000480135_1_Bruc_suis_06-997-1672_V1_genomic,000480135,0.000156838,Brucella suis,20
GCF_000292065_1_ASM29206v1_genomic,000292065,7.82718e-05,Brucella melitensis,77
GCF_002191935_1_ASM219193v1_genomic,002191935,0.000314862,Brucella melitensis,2
GCF_000370405_1_Bruc_abor_F10_06-3_V1_genomic,000370405,0.000235701,Brucella abortus,5
GCF_003989635_1_ASM398963v1_genomic,003989635,0.000156838,Brucella melitensis,31
GCF_006507585_1_ASM650758v1_genomic,006507585,0.000156838,Brucella melitensis,24
GCF_000366865_1_Bruc_meli_66_59_V1_genomic,000366865,0.0,Brucella melitensis,12
GCF_006506785_1_ASM650678v1_genomic,006506785,0.000156838,Brucella melitensis,29
GCF_003675365_1_ASM367536v1_genomic,003675365,7.82718e-05,Brucella abortus,2
GCF_006507285_1_ASM650728v1_genomic,006507285,0.000156838,Brucella melitensis,35
GCF_000370705_1_Bruc_meli_F9_05_V1_genomic,000370705,7.82718e-05,Brucella melitensis,12
GCF_001938045_1_ASM193804v1_genomic,001938045,0.000235701,Brucella melitensis,42
GCF_000366725_1_Bruc_abor_NI622_V1_genomic,000366725,0.0,Brucella abortus,2
GCF_000370005_1_Bruc_abor_63_138_V1_genomic,000370005,7.82718e-05,Brucella abortus,5
GCF_006507235_1_ASM650723v1_genomic,006507235,0.000156838,Brucella melitensis,30
GCF_000705115_1_Brucella_melitensis_C-555_genomic,000705115,0.000156838,Brucella melitensis,56
GCF_003994105_1_ASM399410v1_genomic,003994105,0.000156838,Brucella melitensis,24
GCF_002191335_1_ASM219133v1_genomic,002191335,0.000235701,Brucella melitensis,2
